id;m_source;c_source;m_country_code;c_country_code;m_source_id;c_source_id;validation_status
4327552;AZT;CMA;LT;LT;204804;15498;gpt_2
4327553;AZT;CMA;LT;LT;204805;15499;gpt_2
4327554;AZT;CMA;LT;LT;204806;15500;gpt_2
4327556;AZT;CMA;LT;LT;204807;15501;gpt_2
4327557;AZT;CMA;LT;LT;204812;15502;gpt_2
4327561;AZT;CMA;LT;LT;206084;15746;gpt_2
4327562;AZT;CMA;LT;LT;206085;15744;gpt_2
4327563;AZT;CMA;LT;LT;206088;15748;gpt_2
4327565;AZT;CMA;LT;LT;475037602179;21735;gpt_2
4327570;AZT;CMA;LT;LT;210845;16811;gpt_2
4327575;AZT;CMA;LT;LT;206057;15742;gpt_2
4327580;AZT;CMA;LT;LT;210808;16807;gpt_2
4327582;AZT;CMA;LT;LT;213813;24865;gpt_2
4327603;AZT;CMA;LT;LT;205527;16102;gpt_2
4327631;AZT;CMA;LT;LT;205528;15847;gpt_2
4327637;AZT;CMA;LT;LT;213814;24866;gpt_2
4327649;AZT;CMA;LT;LT;223181;15985;gpt_2
4327657;AZT;CMA;LT;LT;204799;15492;gpt_2
4327675;AZT;CMA;LT;LT;223182;15958;gpt_2
4327685;AZT;CMA;LT;LT;206087;15749;gpt_2
4327761;AZT;CMA;LT;LT;763001990298;17477;gpt_2
4327764;AZT;CMA;LT;LT;044453;23293;gpt_2
4327770;AZT;CMA;LT;LT;223183;15486;gpt_2
4327786;AZT;CMA;LT;LT;221635;19934;gpt_2
4327858;AZT;CMA;LT;LT;570945500322;22527;gpt_2
4327900;AZT;CMA;LT;LT;477131630810;16592;gpt_2
4327903;AZT;CMA;LT;LT;477131630895;15761;gpt_2
4327973;AZT;CMA;LT;LT;471900362122;17430;gpt_2
4328007;AZT;CMA;LT;LT;800092121701;20090;gpt_2
4328052;AZT;CMA;LT;LT;400580010102;21070;gpt_2
4328055;AZT;BNU;LT;LT;590262761362;10085225;gpt_2
4328079;AZT;CMA;LT;LT;354689502242;22082;gpt_2
4328088;AZT;CMA;LT;LT;475102031023;16177;gpt_2
4328096;AZT;BNU;LT;LT;590262761620;10085222;gpt_2
4328111;AZT;CMA;LT;LT;590001707668;21064;gpt_2
4328116;AZT;BNU;LT;LT;590262761619;10085220;gpt_2
4328134;AZT;BNU;LT;LT;590262760291;10085217;gpt_2
4328141;AZT;BNU;LT;LT;590262760292;10085218;gpt_2
4328142;AZT;BNU;LT;LT;590262761783;10085228;gpt_2
4328152;AZT;BNU;LT;LT;590262760289;10085215;gpt_2
4328159;AZT;BNU;LT;LT;590262760290;10085216;gpt_2
4328192;AZT;CMA;LT;LT;206998;16343;gpt_2
4328327;AZT;CMA;LT;LT;477901799155;21611;gpt_2
4328358;AZT;CMA;LT;LT;731740000204;22117;gpt_2
4328372;AZT;CMA;LT;LT;217742;18619;gpt_2
4328434;AZT;CMA;LT;LT;477131630912;17017;gpt_2
4328456;AZT;CMA;LT;LT;731740000206;22220;gpt_2
4328459;AZT;CMA;LT;LT;570945500608;21837;gpt_2
